id,question,answer
1,What is the name of the locality that was named after a county?,Antiene
2,Who was the first woman to be selected as a Time Magazine Fellow?,Mary Sullivan
3,What 15th century friar was a notable writer and a book collector?,Kanutus Johannis
4,What does the Unstrut river form?,"the border between the Canton of St. Gallen, the district of St. Gallen and the Lower Saxony"
5,Who was the eighteenth Shah of Shirvan?,Afridun the Martyr
6,When is the D3 motorway expected to be completed?,2028
7,What was the first example of a continuous geometry?,the projections of the hyperfinite type II factor
8,What year was Queen's second album released?,1987
9,"Who wrote the episode ""Stop-Loss""?",Andrew Chambliss
10,Who made the film Annadata?,K. Gopala Rao
11,What is the name of the county located in eastern New Hampshire that is home to Lake Wentworth?,Carroll County
12,What party was the 1952 presidential candidate in Texas?,Republican Party
13,"What year did episode ""The End of the World"" premiere?",2005
14,"Who wrote ""Along Came Jones""?",Jerry Leiber and Mike Stoller
15,What year did the Letipea massacre take place?,1976
16,What year did Steele make his debut in the Minor Counties Championship?,1998
17,What is the name of the developed Android smartphone?,Galaxy On8
18,What does the Mbarizunga Game Reserve cover?,10 square kilometres (3.9 sq mi)
19,What is Eugoa inconspicua?,moth of the family Erebidae
20,What is the population of the Dillsburg borough?,2563
21,When was the first Avengers album released?,1983
22,What is the nationality of Magnus Nyman?,Swedish
23,Which river is a tributary of the Napo River?,The Coca River
24,When was the Armenian church in Rya Taza built?,between the 10th and 13th centuries
25,When was the fifth election to Pembrokeshire County Council held?,March 1901
26,What is another name for Saint Gummarus of Lier?,"Gommaire, Gommer or Gummery"
27,Who was an American calligrapher from Russia?,Paul Standard
28,How tall is the the Madom da Sgióf?,"4,810 m (15,781 ft)"
29,What is the famous seed fruit that Eminium spiculatum has?,one of the six known seeds of gymnosperm
30,What was the nickname Paul Dmitrievich Romanovsky-Ilyinsky was given?,Grand Duke Pavlov
31,What was the name of the town that became a ghost town?,Carbonate
32,Where is Passendale located?,the Zonnebeke municipality of West Flanders province
33,What is the population of the capital city?,8169079
34,How many species does the Normandia genus contain?,1
35,What object was discovered in 1989?,NGC 70
36,Who wrote Rocks of Ages: Science and Religion in the Fullness of Life?,Stephen Jay Gould
37,What's Jonathan Drack’s nationality?,Mauritian
38,Who was the leader of the International Federation of Independent Revolutionary Art?,André Breton
39,What is the total area of the HDMC?,213 km2
40,What is the name of the monthly comic magazine?,Comics Revue
41,What position was Rattray appointed to in 1969?,Queen's Counsel
42,What is the Southampton Festivite Monday usually called?,Fight for the Weekend
43,How many eskualdeak/comarcas?,8
